,ID_NUM,Match_Prop,L_Min,Run_time,Patterns_Found,Expected_Patterns,Length of Input Strings
0,0.0,0.8,10.0,0.09612226486206055,5.0,7.0,300.0
1,1.0,0.8,10.0,0.09979629516601562,6.0,7.0,300.0
2,2.0,0.8,10.0,0.01552128791809082,2.0,3.0,100.0
3,3.0,0.8,10.0,0.12657952308654785,7.0,8.0,350.0
4,4.0,0.8,10.0,0.030993223190307617,3.0,4.0,150.0
5,5.0,0.8,10.0,0.15973567962646484,9.0,10.0,450.0
6,6.0,0.8,10.0,0.031003713607788086,3.0,4.0,150.0
7,7.0,0.8,10.0,0.07592535018920898,5.0,6.0,250.0
8,8.0,0.8,10.0,0.10006475448608398,6.0,7.0,300.0
9,9.0,0.8,10.0,0.15689611434936523,8.0,9.0,400.0
10,10.0,0.8,10.0,0.026587724685668945,3.0,4.0,150.0
11,11.0,0.8,10.0,0.06814169883728027,5.0,6.0,250.0
12,12.0,0.8,10.0,0.18421339988708496,10.0,12.0,500.0
13,13.0,0.8,10.0,0.16918325424194336,9.0,10.0,450.0
14,14.0,0.8,10.0,0.1625511646270752,9.0,10.0,450.0
15,15.0,0.8,10.0,0.015900373458862305,2.0,3.0,100.0
16,16.0,0.8,10.0,0.13535618782043457,8.0,9.0,400.0
17,17.0,0.8,10.0,0.16251158714294434,9.0,10.0,450.0
18,18.0,0.8,10.0,0.014989852905273438,2.0,3.0,100.0
19,19.0,0.8,10.0,0.04214167594909668,4.0,5.0,200.0
20,20.0,0.8,10.0,0.12241172790527344,7.0,8.0,350.0
21,21.0,0.8,10.0,0.18818020820617676,10.0,12.0,500.0
22,22.0,0.8,10.0,0.03149724006652832,3.0,4.0,150.0
23,23.0,0.8,10.0,0.10695219039916992,6.0,7.0,300.0
24,24.0,0.8,10.0,0.12251949310302734,7.0,8.0,350.0
25,25.0,0.8,10.0,0.015001773834228516,2.0,3.0,100.0
26,26.0,0.8,10.0,0.01631307601928711,2.0,3.0,100.0
27,27.0,0.8,10.0,0.02981257438659668,3.0,4.0,150.0
28,28.0,0.8,10.0,0.13468480110168457,8.0,9.0,400.0
29,29.0,0.8,10.0,0.015266180038452148,2.0,3.0,100.0
30,30.0,0.8,10.0,0.07869958877563477,5.0,6.0,250.0
31,31.0,0.8,10.0,0.14996910095214844,9.0,10.0,450.0
32,32.0,0.8,10.0,0.08385014533996582,6.0,7.0,300.0
33,33.0,0.8,10.0,0.07495880126953125,5.0,6.0,250.0
34,34.0,0.8,10.0,0.07672905921936035,5.0,6.0,250.0
35,35.0,0.8,10.0,0.1520240306854248,9.0,10.0,450.0
